Date,Close
7/1/2022,$25.66 
6/30/2022,$23.94 
6/29/2022,$24.36 
6/28/2022,$23.78 
6/27/2022,$25.18 
6/24/2022,$25.42 
6/23/2022,$26.06 
6/22/2022,$25.39 
6/21/2022,$25.42 
6/17/2022,$23.72 
6/16/2022,$23.91 
6/15/2022,$25.56 
6/14/2022,$22.43 
6/13/2022,$22.27 
6/10/2022,$22.86 
6/9/2022,$22.86 
6/8/2022,$25.05 
6/7/2022,$24.79 
6/6/2022,$25.02 
6/3/2022,$25.07 
6/2/2022,$27.41 
6/1/2022,$25.24 
5/31/2022,$26.45 
5/27/2022,$28.63 
5/26/2022,$26.17 
5/25/2022,$25.98 
5/24/2022,$22.94 
5/23/2022,$24.67 
5/20/2022,$24.37 
5/19/2022,$25.50 
5/18/2022,$26.42 
5/17/2022,$26.96 
5/16/2022,$27.24 
5/13/2022,$31.24 
5/12/2022,$25.08 
5/11/2022,$26.17 
5/10/2022,$30.37 
5/9/2022,$31.16 
5/6/2022,$35.83 
5/5/2022,$38.43 
5/4/2022,$41.76 
5/3/2022,$38.90 
5/2/2022,$38.33 
4/29/2022,$36.88 
4/28/2022,$39.82 
4/27/2022,$38.22 
4/26/2022,$35.53 
4/25/2022,$38.48 
4/22/2022,$37.60 
4/21/2022,$38.51 
4/20/2022,$40.19 
4/19/2022,$42.34 
4/18/2022,$40.76 
4/14/2022,$43.01 
4/13/2022,$45.02 
4/12/2022,$43.58 
4/11/2022,$43.96 
4/8/2022,$43.11 
4/7/2022,$43.94 
4/6/2022,$43.56 
4/5/2022,$47.40 
4/4/2022,$51.44 
4/1/2022,$49.30 
3/31/2022,$48.31 
3/30/2022,$48.99 
3/29/2022,$51.37 
3/28/2022,$49.14 
3/25/2022,$48.63 
3/24/2022,$50.58 
3/23/2022,$50.10 
3/22/2022,$51.26 
3/21/2022,$48.41 
3/18/2022,$50.28 
3/17/2022,$46.79 
3/16/2022,$43.96 
3/15/2022,$38.89 
3/14/2022,$36.17 
3/11/2022,$38.76 
3/10/2022,$42.58 
3/9/2022,$44.51 
3/8/2022,$42.48 
3/7/2022,$42.31 
3/4/2022,$43.18 
3/3/2022,$46.41 
3/2/2022,$45.90 
3/1/2022,$47.42 
2/28/2022,$46.78 
2/25/2022,$44.49 
2/24/2022,$49 
2/23/2022,$47.40 
2/22/2022,$50.54 
2/18/2022,$52.33 
2/17/2022,$56.21 
2/16/2022,$59.69 
2/15/2022,$62 
2/14/2022,$58.13 
2/11/2022,$59.87 
2/10/2022,$61.49 
2/9/2022,$62.67 
2/8/2022,$59.90 
2/7/2022,$59.28 
2/4/2022,$58.68 
2/3/2022,$58.01 
2/2/2022,$64 
2/1/2022,$66.88 
1/31/2022,$65.13 
1/28/2022,$56.54 
1/27/2022,$56.56 
1/26/2022,$60.18 
1/25/2022,$61.20 
1/24/2022,$62.49 
1/21/2022,$61.60 
1/20/2022,$61.42 
1/19/2022,$63.20 
1/18/2022,$63.76 
1/14/2022,$66.58 
1/13/2022,$70.83 
1/12/2022,$67.62 
1/11/2022,$69.38 
1/10/2022,$66.62 
1/7/2022,$68.52 
1/6/2022,$67.06 
1/5/2022,$58.49 
1/4/2022,$61.62 
1/3/2022,$64.87 
12/31/2021,$65.16 
12/30/2021,$67.39 
12/29/2021,$63.26 
12/28/2021,$66.31 
12/27/2021,$66.75 
12/23/2021,$67.99 
12/22/2021,$68.66 
12/21/2021,$70.23 
12/20/2021,$65.27 
12/17/2021,$69.24 
12/16/2021,$66.15 
12/15/2021,$66.79 
12/14/2021,$69.31 
12/13/2021,$63.42 
12/10/2021,$64.51 
12/9/2021,$70.09 
12/8/2021,$74.13 
12/7/2021,$71.25 
12/6/2021,$67.34 
12/3/2021,$64.61 
12/2/2021,$67.36 
12/1/2021,$66.26 
11/30/2021,$70.26 
11/29/2021,$74.60 
11/26/2021,$76.72 
11/24/2021,$75.55 
11/23/2021,$74.50 
11/22/2021,$75.63 
11/19/2021,$77.53 
11/18/2021,$78.38 
11/17/2021,$80.47 
11/16/2021,$83.48 
11/15/2021,$83.82 
11/12/2021,$85.15 
11/11/2021,$81.93 
11/10/2021,$94.48 
11/9/2021,$97.99 
11/8/2021,$98.28 
11/5/2021,$99.77 
11/4/2021,$102.52 
11/3/2021,$104.51 
11/2/2021,$99.19 
11/1/2021,$99.57 
10/29/2021,$98.98 
10/28/2021,$100.18 
10/27/2021,$95.59 
10/26/2021,$94.37 
10/25/2021,$96 
10/22/2021,$95.80 
10/21/2021,$108.62 
10/20/2021,$107.10 
10/19/2021,$107.47 
10/18/2021,$107.08 
10/15/2021,$105.64 
10/14/2021,$106.96 
10/13/2021,$104.99 
10/12/2021,$104.64 
10/11/2021,$101.71 
10/8/2021,$100.58 
10/7/2021,$104.41 
10/6/2021,$101.32 
10/5/2021,$100.67 
10/4/2021,$101.23 
10/1/2021,$105.09 
9/30/2021,$105.26 
9/29/2021,$106.32 
9/28/2021,$107.36 
9/27/2021,$113.38 
9/24/2021,$109.69 
9/23/2021,$112.88 
9/22/2021,$113.78 
9/21/2021,$112.23 
9/20/2021,$112.27 
9/17/2021,$112.95 
9/16/2021,$108.25 
9/15/2021,$110.81 
9/14/2021,$110.45 
9/13/2021,$112.94 
9/10/2021,$112.90 
9/9/2021,$114.13 
9/8/2021,$112.55 
9/7/2021,$113.73 
9/3/2021,$114.97 
9/2/2021,$119.74 
9/1/2021,$120.76 
8/31/2021,$119.64 
8/30/2021,$120.30 
8/27/2021,$121.50 
8/26/2021,$120.37 
8/25/2021,$122.32 
8/24/2021,$124.30 
8/23/2021,$121.49 
8/20/2021,$117.35 
8/19/2021,$115.09 
8/18/2021,$118.84 
8/17/2021,$117.70 
8/16/2021,$118.81 
8/13/2021,$121.24 
8/12/2021,$124.44 
8/11/2021,$124.76 
8/10/2021,$126.63 
8/9/2021,$130.32 
8/6/2021,$123.88 
8/5/2021,$121.82 
8/4/2021,$122.80 
8/3/2021,$122.55 
8/2/2021,$124.07 
7/30/2021,$122.70 
7/29/2021,$124.56 
7/28/2021,$126.21 
7/27/2021,$123.42 
7/26/2021,$125.97 
7/23/2021,$126.54 
7/22/2021,$128.10 
7/21/2021,$131 
7/20/2021,$130.60 
7/19/2021,$125.52 
7/16/2021,$124.95 
7/15/2021,$129.09 
7/14/2021,$127.97 
7/13/2021,$136.28 
7/12/2021,$138.88 
7/9/2021,$140.32 
7/8/2021,$139.23 
7/7/2021,$140.34 
7/6/2021,$145.56 
