Date,META,POOL,XOM
6/10/2016,332.46,429,62.75
6/11/2016,331.26,431.62,62.17
6/12/2016,336.77,430.96,62.07
6/13/2016,336.75,434.41,64.33
6/14/2016,331.08,432.52,64.1
6/15/2016,336.51,436.53,61.99
6/16/2016,329.66,442.02,60.4
6/17/2016,332.29,452.9,62.59
6/18/2016,339.03,459.76,63.79
6/19/2016,340.59,454.9,64.26
6/20/2016,343.18,459.03,64.52
6/21/2016,341.37,455.77,64.66
6/22/2016,355.64,456.54,63.01
6/23/2016,351.89,465.04,62.62
6/24/2016,347.71,458.66,63.08
6/25/2016,354.39,462.05,63.26
6/26/2016,354.7,466.83,63.17
6/27/2016,352.78,464.53,61.37
6/28/2016,350.49,470.32,60.41
6/29/2016,345.65,468.77,60.14
6/30/2016,350.42,476.24,61.23
7/1/2016,353.16,475.51,61.17
7/2/2016,352.09,470.88,60.88
7/3/2016,347.63,468.77,59.53
7/4/2016,344.46,459.82,58.95
7/5/2016,341.16,458.89,57.32
7/6/2016,336.95,453.52,55.35
7/7/2016,341.66,452.51,55.96
7/8/2016,346.23,457.69,57.76
7/9/2016,351.19,450.52,57.11
7/10/2016,369.79,462.37,57.04
7/11/2016,372.46,466.96,58.48
7/12/2016,367.81,471.87,57.83
7/13/2016,373.28,467.63,58.22
7/14/2016,358.32,477.8,58.93
7/15/2016,356.3,477.82,57.57
7/16/2016,351.95,476.51,57.58
7/17/2016,351.24,480.44,58.2
7/18/2016,358.92,486.97,56.84
7/19/2016,362.97,486.81,57.2
7/20/2016,363.51,481.09,57.86
7/21/2016,361.61,485.4,57.2
7/22/2016,361.13,484.18,58.18
7/23/2016,359.96,483.17,58.35
7/24/2016,362.65,484.73,57.35
7/25/2016,363.18,485.21,56.77
7/26/2016,366.56,493.4,55.94
7/27/2016,358.45,479.99,55.56
7/28/2016,355.45,476.64,54.39
7/29/2016,355.12,484.37,52.73
7/30/2016,359.37,486.43,52.74
7/31/2016,363.35,474.9,54.91
8/1/2016,365.51,477.59,55.36
8/2/2016,368.39,485.02,55.46
8/3/2016,364.38,477.47,54.71
8/4/2016,372.63,480.91,55.77
8/5/2016,380.66,491.43,55.16
8/6/2016,379.38,494.3,54.52
8/7/2016,382.05,491.23,53.77
8/8/2016,375.28,497.26,55.08
8/9/2016,376.26,496.89,54.87
8/10/2016,382.18,491.05,54.55
8/11/2016,377.57,497.39,54.05
8/12/2016,378,491.64,54.09
8/13/2016,378.69,493.43,53.98
8/14/2016,376.51,478.92,55.37
8/15/2016,376.53,474.68,54.58
8/16/2016,373.92,477.15,56.42
8/17/2016,373.06,470.69,55.82
8/18/2016,364.72,464.04,55.16
8/19/2016,355.7,462.52,53.69
8/20/2016,357.48,459.73,53.64
8/21/2016,343.21,456,55.21
8/22/2016,345.96,466.37,57.08
8/23/2016,352.96,465.49,57.59
8/24/2016,353.58,455.76,59.3
8/25/2016,340.65,444.08,59.92
8/26/2016,339.61,446.83,59.88
8/27/2016,339.39,434.41,58.82
8/28/2016,343.01,437.4,60.93
8/29/2016,326.23,435.92,61.72
8/30/2016,332.96,440.41,61.62
8/31/2016,333.64,440.95,60.49
9/1/2016,329.22,452.54,60.66
9/2/2016,330.05,446.53,62.18
9/3/2016,325.45,445.52,61.56
9/4/2016,323.77,440.86,61.24
9/5/2016,324.54,440.37,61.07
9/6/2016,328.53,452.87,62
9/7/2016,324.76,453.22,62.59
9/8/2016,335.34,460.46,62.56
9/9/2016,339.99,464.51,63.5
9/10/2016,340.78,463.84,63.85
9/11/2016,341.88,499.33,62.69
9/12/2016,324.61,503.08,63.12
9/13/2016,328.69,508.62,64.35
9/14/2016,315.81,503.62,65.84
9/15/2016,312.22,499.78,64.13
9/16/2016,316.92,506.64,64.31
9/17/2016,323.57,515.16,64.47
9/18/2016,329.98,514.95,65.63
9/19/2016,328.08,515.41,64.82
9/20/2016,331.62,516.43,63.93
9/21/2016,335.85,522.17,64.41
9/22/2016,341.13,517.97,65.02
9/23/2016,338.62,520.58,65.72
9/24/2016,335.37,526.31,66.36
9/25/2016,327.64,526.52,64.19
9/26/2016,327.74,553.92,64.31
9/27/2016,340.89,571.28,63.82
9/28/2016,347.56,569.88,64.37
9/29/2016,342.96,573.73,65.02
9/30/2016,340.77,573,64.31
10/1/2016,338.69,577.85,63.61
10/2/2016,345.3,577,60.67
10/3/2016,341.01,559.22,61.51
10/4/2016,337.25,561.57,63.13
10/5/2016,341.06,568.46,63.48
10/6/2016,333.12,559.19,61.25
10/7/2016,338.03,560.1,61.59
10/8/2016,324.46,554.12,59.84
10/9/2016,310.6,552.22,59.79
10/10/2016,310.39,556.7,61.28
10/11/2016,306.84,544.84,60.89
10/12/2016,317.87,547.95,61.58
10/13/2016,322.81,563.17,62.27
10/14/2016,330.56,564.77,62.45
10/15/2016,329.82,549.39,62.61
10/16/2016,329.75,562.67,63.01
10/17/2016,334.49,562.2,61.63
10/18/2016,333.74,558.7,61.54
10/19/2016,341.66,567.55,61.27
10/20/2016,334.9,551.56,61.37
10/21/2016,333.79,540.64,60.03
10/22/2016,325.45,538.27,59.16
10/23/2016,334.2,541.46,60.5
10/24/2016,330.45,549.13,60.99
10/25/2016,335.24,549.65,61.02
10/26/2016,346.18,560.91,61.89
10/27/2016,346.22,561.21,61.69
10/28/2016,342.94,567.63,61.15
10/29/2016,344.36,560.81,60.79
10/30/2016,336.35,566,61.19
10/31/2016,338.54,550.25,63.54
11/1/2016,336.53,549.89,65.93
11/2/2016,324.17,529.38,66.75
11/3/2016,332.46,520.52,68.32
11/4/2016,331.79,503.17,68.88
11/5/2016,328.07,496.31,68.47
11/6/2016,334.37,502.06,71.35
11/7/2016,333.26,512.81,71.14
11/8/2016,326.48,507.23,70.63
11/9/2016,331.9,494.1,71.87
11/10/2016,318.15,493.91,73.08
11/11/2016,319.59,490.66,73.11
11/12/2016,316.56,476.43,73.27
11/13/2016,303.17,470.88,72.17
11/14/2016,308.71,477.62,72.79
11/15/2016,300.15,459.99,74.93
11/16/2016,294.63,451.26,74.17
11/17/2016,294.64,451.75,75.12
11/18/2016,301.71,459.72,75.28
11/19/2016,313.26,476.25,75.96
11/20/2016,319,473.73,80.83
11/21/2016,323,471.27,80.62
11/22/2016,237.76,458.05,79.68
11/23/2016,237.09,448.62,81.41
11/24/2016,224.91,449.1,82.39
11/25/2016,220.18,452.17,80.26
11/26/2016,232,465.04,79
11/27/2016,228.07,453.68,78.24
11/28/2016,219.55,446.55,80.21
11/29/2016,217.7,450.94,78.98
11/30/2016,221,459.57,77.99
12/1/2016,216.54,460.18,78.35
12/2/2016,207.71,445.92,78.23
12/3/2016,206.16,454.83,77.36
12/4/2016,202.08,430.12,76.46
12/5/2016,198.45,415.42,76.77
12/6/2016,207.6,436.07,75.8
12/7/2016,210.48,449.39,77.84
12/8/2016,211.03,458.58,78.42
12/9/2016,203.49,462.51,79.17
12/10/2016,208.11,475.48,80.53
12/11/2016,202.97,469.45,81.04
12/12/2016,200.06,465.81,84.09
12/13/2016,187.47,451.55,87.12
12/14/2016,190.29,437,87.78
12/15/2016,198.5,456.74,82.79
12/16/2016,195.21,452.08,85.36
12/17/2016,187.61,442.1,84.92
12/18/2016,186.63,441.08,81.88
12/19/2016,192.03,452.81,77.22
12/20/2016,203.63,467.71,76.93
12/21/2016,207.84,475.15,78.98
12/22/2016,216.49,487.41,78.67
12/23/2016,211.49,475.82,82.2
12/24/2016,216.65,476.88,81.84
12/25/2016,213.46,460.13,83.13
12/26/2016,219.57,450.52,83.38
12/27/2016,221.82,431.24,85.2
12/28/2016,223.59,440.25,82.81
12/29/2016,229.86,454.49,82.37
12/30/2016,227.85,449.44,83.78
12/31/2016,222.36,422.85,82.59
1/1/2017,224.85,425.03,83.12
1/2/2017,233.89,430.74,83.16
1/3/2017,231.84,433.54,82.73
1/4/2017,223.3,419.91,83.65
1/5/2017,222.95,425.68,85.05
1/6/2017,222.33,422.09,86.84
1/7/2017,216.46,415.04,83.85
1/8/2017,214.14,410.97,85.6
1/9/2017,214.99,421.44,86.81
1/10/2017,210.18,414.06,87.83
1/11/2017,210.77,410.49,88.55
1/12/2017,217.31,429.79,87.76
1/13/2017,200.42,431.82,87.96
1/14/2017,188.07,427.19,87.03
1/15/2017,184.11,415.74,85.13
1/16/2017,186.99,427.64,82.26
1/17/2017,180.95,415.48,82.29
1/18/2017,174.95,404.95,84.64
1/19/2017,205.73,417.66,87.2
1/20/2017,200.47,405.22,85.25
1/21/2017,211.13,412.08,86.41
1/22/2017,212.03,406.16,88.19
1/23/2017,223.41,416.92,91.7
1/24/2017,208.28,400.56,90.31
1/25/2017,203.77,394.3,91.69
1/26/2017,196.21,399.84,84.46
1/27/2017,197.65,395.94,85.02
1/28/2017,188.74,381.41,86.79
1/29/2017,191.24,403.75,86.3
1/30/2017,198.62,411.16,88.86
1/31/2017,200.04,401.18,90.95
2/1/2017,202.62,405.21,92.11
2/2/2017,192.24,387.31,90.65
2/3/2017,191.29,393.46,91.14
2/4/2017,193.54,405.58,91.86
2/5/2017,196.23,404.76,93.89
2/6/2017,181.28,389.2,94.4
2/7/2017,183.83,393.49,96.3
2/8/2017,191.63,400.86,96.64
2/9/2017,195.13,406,97.59
2/10/2017,193.64,398.62,96
2/11/2017,188.64,393.04,97.84
2/12/2017,198.86,414.51,97.67
2/13/2017,190.78,407.27,99.09
2/14/2017,194.25,411.61,98.84
2/15/2017,195.65,410.8,103.37
2/16/2017,196.64,406.87,104.59
2/17/2017,184,416.39,102.33
